"Id","FirstName","LastName","Title","ShortDescription","Presentation","ServiceIds"
"9589ec15-9294-4a27-859d-7a9b8abd41d8","Ria","Ekholm","Psykoterapeutti, seksuaaliterapeutti","Kokenut ja lämminhenkinen psykoterapeutti ja seksuaaliterapeutti","Minulla on lähes 20 vuotta kokemusta psykiatriasta lasten, nuorten ja aikuisten parissa. Vastaanotolleni voi hakeutua, jos tunnet mielialanvaihteluita, koet ahdistusta tai pitkittynyttä huolta ja kuormitusta, haluat tarkastella seksuaalisuuden tai sukupuolen moninaisuuteen liittyviä kysymyksiä. Pelot, ihmissuhdeongelmat kotona tai työssä, huoli itsestä tai läheisestä ovat tavanomaisia syitä hakea tukea ja apua.
Terapeuttina minulle on tärkeää asiakkaan lämminhenkinen ja läsnäoleva kohtaaminen siten, että asiakas kokee tulevansa kuulluksi ja ymmärretyksi. Minulle on tärkeää hahmottaa asiakkaan tarina ja pysähtyä sen äärelle. Toimivassa ja kohtaavassa vuorovaikutuksessa avautuu mahdollisuus muutokselle ja löytyy toivon näkökulma. Terapiassa käytettävät menetelmät valitaan yksilöllisesti ja yhteistyössä asiakkaiden toiveiden ja tarpeiden mukaisesti. Olen myös koulutettu seksuaaliterapeutti. 
Tervetuloa vastaanotolleni!","Surevan tuki, Elintapamuutosten psykologinen tuki, Seksuaaliterapia, Stressin säätelytaitojen vahvistaminen, Paniikkihäiriön tutkimus ja hoito , Pariterapia, Nuorten psykoterapia, Masennuksen tutkimus ja hoito , Sopeutumishäiriöiden tutkimus ja hoito, Psykoterapia, psykoterapeutti, Vanhempien ohjauskäynnit (osana lapsen tai nuoren psykoterapiaa) , Seksuaaliterveys, Päihdeongelmien lyhytpsykoterapia työterveysasiakkaille, Vakavaan sairauteen sopeutuminen, Kivun psykologinen hoito, afa8545f-02d2-4d39-9e1f-62fedbdb9724, Työnohjauspalvelut, Kelan kuntoutuspsykoterapia, Eroauttaminen, Kognitiiviset menetelmät, Perheen tuki, Kaksisuuntaisen mielialahäiriön tutkimus ja hoito, Integratiiviset psykoterapiat, Nuoren psykologinen tuki, Ikääntyvän psykologinen tuki, Lapsen ja vanhemman välisen vuorovaikutuksen tuki , Unettomuus, Työuupumuksen tutkimus ja hoito, Tietoisuustaidot eli Mindfulness, Lapsiperheen mielen tuki, Syömishäiriöiden tutkimus ja hoito, Työterveyden lyhytpsykoterapia, Parisuhteen tuki, Mielenterveyden tuki ja hoito, Seksuaalisuuden ja sukupuolen moninaisuus, Lapsen psykologinen tuki, Itsetuhoisuuden tutkimus ja hoito, Neuropsykiatristen oireiden arviointi ja tuki, Ahdistuneisuushäiriöiden tutkimus ja hoito , Vihan käsittely, Psykoosien ja skitsofrenian tutkimus ja hoito, Hyväksymis- ja omistautumisterapia (HOT), Pakko-oireiden tutkimus ja hoito, Kriisituki, Riippuvuuksien arviointi ja tuki, Unettomuuden hoito (yksilötuki), Väsymys ja sen hoito, Perheterapia, Epävakaan persoonallisuushäiriön tutkimus ja hoito "
"8c3a870f-70ff-43b8-a36e-1d7304bdb11f","Erja","Romppainen","Psykoterapeutti","Asiakkaansa arvostavasti, turvallisesti ja avoimesti kohtaava psykoterapeutti","Olen Valviran hyväksymä integratiivinen pari- ja perhepsykoterapeutti, pohjakoulutukseltani YTM/sosiaalityöntekijä sekä liikuntaneuvoja. Minulla on myös kognitiivisen ja psykofyysisen psykoterapian koulutukset. Otan vastaan lyhytpsykoterapia-asiakkaita (1-20 kertaa), mutta olen toiminut työssäni yksilöiden lisäksi myös parien, perheiden ja ryhmien kanssa monenlaisissa psyykkisissä ja sosiaalisissa haasteissa. 

Esimerkiksi lapsiperheiden erilaiset haasteet ja elämänkriisit, ahdistuneisuushäiriöt, masennus, uupumus, päihdehaasteet, työssä/ opinnoissa jaksaminen, itsetunto-ongelmat, mielialahäiriöt, nuoren kasvun pulmat sekä vanhemmuuden ja parisuhteen haasteet ovat minulle tuttuja teemoja. Kokemusta minulta löytyy myös eläinavusteista terapiatyöstä (koirat, hevoset). Terapiassa minulle tärkeää on asiakkaan arvostava kohtaaminen sekä turvallinen ja avoin dialogi. Terapeuttina olen empaattinen, hyväksyvä ja rauhallinen. Pari- ja perheterapia asiakas: varaathan kaksi 45 min aikaa (90min)","Surevan tuki, Elintapamuutosten psykologinen tuki, Lapsen tai nuoren psykologinen arviointi, Stressin säätelytaitojen vahvistaminen, Psykofyysiset menetelmät, Paniikkihäiriön tutkimus ja hoito , Kivun hoito, Pariterapia, Masennuksen tutkimus ja hoito , Sopeutumishäiriöiden tutkimus ja hoito, Psykoterapia, psykoterapeutti, Päihdeongelmien lyhytpsykoterapia työterveysasiakkaille, Vakavaan sairauteen sopeutuminen, Kivun psykologinen hoito, Eroauttaminen, Kognitiiviset menetelmät, Perheen tuki, Kaksisuuntaisen mielialahäiriön tutkimus ja hoito, Integratiiviset psykoterapiat, Nuoren psykologinen tuki, Ikääntyvän psykologinen tuki, Lapsen ja vanhemman välisen vuorovaikutuksen tuki , Unettomuus, Työuupumuksen tutkimus ja hoito, Lapsiperheen mielen tuki, Syömishäiriöiden tutkimus ja hoito, Kognitiivinen psykoterapia, Työterveyden lyhytpsykoterapia, Parisuhteen tuki, Mielenterveyden tuki ja hoito, Seksuaalisuuden ja sukupuolen moninaisuus, Lapsen psykologinen tuki, Fobioiden tutkimus ja hoito , Itsetuhoisuuden tutkimus ja hoito, Neuropsykiatristen oireiden arviointi ja tuki, Ahdistuneisuushäiriöiden tutkimus ja hoito , Seksuaalisuuden kysymykset, Vihan käsittely, Pakko-oireiden tutkimus ja hoito, Kriisituki, Riippuvuuksien arviointi ja tuki, Unettomuuden hoito (yksilötuki), Väsymys ja sen hoito, Perheterapia, Epävakaan persoonallisuushäiriön tutkimus ja hoito , Lasten univaikeuksien hoito"
"9e338027-1e5d-434b-b4ad-0c23876d2034","Tiina","Pollari","Psykoterapeutti, perheterapeutti","Asiantunteva perhepsykoterapeutti, joka kouluttautuu parhaillaan integratiiviseksi yksilöpsykoterapeutiksi","Olen perhepsykoterapeutti ja kouluttaudun parhaillaan integratiiviseksi yksilöpsykoterapeutiksi.

Luokseni voi tulla elämänkriiseihin, parisuhteen tai vanhemmuuden haasteisiin ja vuorovaikutukseen liittyvien pulmien takia. Tarjoan keskustelutukea  masennuksen, ahdistuksen ja uupumuksen hoitoon.

Tarjoan myös työterveyden lyhytpsykoterapiaa.

Psykoterapeuttinen työskentelytapani on voimavarakeskeinen, dialoginen ja integratiivinen. Näillä lähestymistavoilla voimme yhdessä tarkastella elämäntilannetta ja psyykkisiä ilmiöitä monesta eri terapiasuuntauksen näkökulmasta. Työskentelytavaltani olen lämmin, keskusteleva ja aktiivinen.

Kela-korvattavuus perheterapiaan ja vanhempainohjaukseen.","Surevan tuki, Paniikkihäiriön tutkimus ja hoito , Kivun hoito, Masennuksen tutkimus ja hoito , Psykoterapia, psykoterapeutti, Vanhempien ohjauskäynnit (osana lapsen tai nuoren psykoterapiaa) , Eroauttaminen, Perheen tuki, Koulutuspsykoterapia, Soittopyyntö, Lapsen ja vanhemman välisen vuorovaikutuksen tuki , Unettomuus, Työuupumuksen tutkimus ja hoito, Lapsiperheen mielen tuki, Työterveyden lyhytpsykoterapia, Mielenterveyden tuki ja hoito, Ahdistuneisuushäiriöiden tutkimus ja hoito , Pakko-oireiden tutkimus ja hoito, Kriisituki, Perheterapia, Stressin säätelytaitojen vahvistaminen"
"3818fc1d-d0f7-4bd8-b9b8-1bc9b96c4d62","Iiris","Friis","Psykoterapeutti","Kokenut psykoterapeutti","Minulla on pitkä ja kokemusrikas työura nuorten ja aikuisten hoitotyönopettajana. Olen saanut rinnallakulkea monen ihmisen kasvumatkalla omassa elämässään ja kohti unelma-ammattiaan. 
Sinun kanssasi, joka tarvitset tukea ja pohdintaa elämäsi erilaisissa solmukohdissa, työskentelen niin, että löydät ne ratkaisut ja voimavarat, jotka sinulla itselläsi on. Tuen sinua myös itse määrittelemään tavoitteita ja toiveita, jotka sinun on mahdollista saavuttaa terapiassa. Elämän solmukohtia voi olla henkilökohtaisessa elämässä, työelämässä sekä erilaisissa mielenterveyden haasteissa. Ensimmäinen pieni askel johtaa toiseen ja kolmanteen! Olet lämpimästi tervetullut vastaanotolleni!","Työnohjauspalvelut työterveysasiakkaalle, Paniikkihäiriön tutkimus ja hoito , Masennuksen tutkimus ja hoito , Psykoterapia, psykoterapeutti, Työnohjauspalvelut, Soittopyyntö, Työterveyden lyhytpsykoterapia, Ratkaisu- ja voimavarakeskeinen psykoterapia , Ahdistuneisuushäiriöiden tutkimus ja hoito "
"dbb03851-6bc7-46ea-a981-079bea18bfe9","Helena","Castrén","Psykoterapeutti","Asiantunteva psykoterapeutti ja työnohjaaja","Olen erityistason kriisi- ja traumapsykoterapeutti (sisältäen EMDR-terapian ja Kela-kelpoisuuden) sekä työnohjaaja ja teologian maisteri. 

Aiemmissa tehtävissäni olen toiminut henkilöstön kehittäjänä ja tukenut monia elämänkaaren erilaisissa vaiheissa. Vahvuuteni on luoda turvallinen ja läsnä oleva keskusteluyhteys, jossa terapeutin osuus on samalla toimia analyyttisena ja oikea-aikaisena näkökulmien avaajana niin lyhyissä kuin pitkissäkin asiakassuhteissa.

Olen auttanut paniikkioireisia esimerkiksi lento- tai esiintymispelossa. Luennoin ja ohjaan mielelläni ryhmiä esimerkiksi työssä jaksamisesta, vuorovaikutustaidoista ja arvoista. 

Tervetuloa vastaanotolleni!","Psykoterapia, psykoterapeutti, afa8545f-02d2-4d39-9e1f-62fedbdb9724, Työnohjauspalvelut, EMDR, Työterveyden lyhytpsykoterapia, Kriisituki"
"ae3e24b9-3f2f-4bb0-b6da-0d7bc9b05451","Eerina","Hyvärinen","Psykoterapeutti, pari- ja perheterapeutti","Ihmisläheinen psykoterapeutti","Olen Valviran hyväksymä psykoterapautti ja tarjoan pari- ja perhepsykoterapiaa pareille ja perheille. Teen myös
työterveyshuollon lyhytpsykoterapiaa. Minulla on pitkä kokemus erilaisten perheiden ja kaikenikäisten kanssa työskentelystä. Pyrin vahvistamaan
perheenjäsenten ja parien keskinäistä vuorovaikutusta ja löytämään heidän omia voimavaroja sekä uusia näkökulmia asioihin. Vahvuuksiani ovat dialoginen ja voimavarakeskeinen työote ja minulle on tärkeää aito
kohtaaminen, luottamuksellinen suhde ja asiakkaan kuulluksi tuleminen.
Kela-pätevyys pari- ja perheterapiaan. Lämpimästi tervetuloa vastaanotolleni!","Surevan tuki, Mindfulness, Elintapamuutosten psykologinen tuki, Seksuaaliterapia, Stressin säätelytaitojen vahvistaminen, Pariterapia, 5c293540-ef20-437d-945f-3321804b8a08, Masennuksen tutkimus ja hoito , d56ba243-016d-48c9-9ceb-4512360489af, Psykoterapia, psykoterapeutti, Vakavaan sairauteen sopeutuminen, afa8545f-02d2-4d39-9e1f-62fedbdb9724, 15a284a3-75f0-4030-95da-672c8b50cbed, Kelan kuntoutuspsykoterapia, Eroauttaminen, Kognitiiviset menetelmät, Nuoren psykologinen tuki, b2b31ce3-061f-47d9-9fd8-80a62b89b498, Ikääntyvän psykologinen tuki, Lapsen ja vanhemman välisen vuorovaikutuksen tuki , Työuupumuksen tutkimus ja hoito, Työterveyden lyhytpsykoterapia, Itsetuhoisuuden tutkimus ja hoito, 88f839d1-9603-4011-921e-be3cde638034, Ratkaisu- ja voimavarakeskeinen psykoterapia , Ahdistuneisuushäiriöiden tutkimus ja hoito , Seksuaalisuuden kysymykset, Vihan käsittely, Kriisituki, Riippuvuuksien arviointi ja tuki, b70231e4-f9e5-45e4-9165-de74d5223f17, Epävakaan persoonallisuushäiriön tutkimus ja hoito "
"46f4206a-87ec-4c51-981f-94f59c7e73f1","Anja","Venäläinen","Psykoterapeutti","Olen terveydenhoitajana jatkokouluttautunut yksilö-, pari- ja perheterapiaan (KELA/Valvira psykoterapeuttioikeudet) sekä toimin työnohjaajana (Story).","Haluan auttaa asiakkaitani kertomaan elämänsä kokemustarinaa ja saamaan henkistä tukea eteenpäin suuntautuvaa elämää varten, elämän vaikeimmillakin hetkillä. 

Pyrin tuomaan ammatillisen teoriatiedon ja työ- ja elämänkokemukseni kautta keskusteluihin lisäymmärrystä ja jäsennystä, jotta hämmennyksissä olevaan mieleen ja elämäntilanteeseen löytyy selkeyttä, tasapainoa ja mielenrauhaa. 

Käytän tarvittaessa mm. valokuvaterapian sekä kuva- ja kirjallisuusterapian menetelmiä. Huomioin psyykkisen hyvinvoinnin rinnalla aina vahvasti myös fyysiset ja sosiaaliset vuorovaikutuksen hyvinvointitekijät ja käytän tarvittaessa hengitys- ja rentoutusharjoituksia osana terapiaa. 

Olet tervetullut lähivastaanotolle tai etäterapia-ajalle.","Pariterapia, Masennuksen tutkimus ja hoito , Sopeutumishäiriöiden tutkimus ja hoito, afa8545f-02d2-4d39-9e1f-62fedbdb9724, Työnohjauspalvelut, Kelan kuntoutuspsykoterapia, Soittopyyntö, b2b31ce3-061f-47d9-9fd8-80a62b89b498, Lapsen ja vanhemman välisen vuorovaikutuksen tuki , Työuupumuksen tutkimus ja hoito, Mielen hyvinvoinnin asiantuntijaluennot, Tietoisuustaidot eli Mindfulness, Skeematerapia, Työterveyden lyhytpsykoterapia, Ratkaisu- ja voimavarakeskeinen psykoterapia , Ahdistuneisuushäiriöiden tutkimus ja hoito , Kriisituki, Perheterapia"
"279687ba-c7d8-4982-96f3-e6b178b90d9b","Marjo","Pohjola","Psykoterapeutti, Perheterapeutti, Työnohjaaja","Psykoterapeutti sekä erityistason voimavarakeskeinen perheterapeutti","Minulla on pitkä kokemus lasten, nuorten ja aikuisten sekä perheiden kanssa työskentelystä. Työskentelen mielelläni kaikenikäisten asiakkaiden kanssa. Pääsääntöisesti teen työterveyshuollon lyhytpsykoterapiaa.

Minulle tuttuja teemoja asiakastyössä ovat traumaattiset elämänkokemukset, päihdeongelmat, käytöshäiriöt, ahdistuneisuus tai masennus sekä parisuhteen ja perheen vuorovaikutusongelmat.

Vastavuoroisessa työskentelysuhteessa asiakkaiden ainutkertaisuutta kunnioittaen, luon turvallisen ilmapiirin, jossa voi puhua tunteita herättävistä asioista. Kuuntelen läsnäolevasti ja kiinnostuneena. Yhdessä jaetun ymmärryksen sekä uusien näkökulmien tutkimisen avulla, autan asiakkaitani löytämään heille sopivia ratkaisuja ja vahvistan asiakkaideni kykyä selviytyä niin yksityis- kuin työelämässäkin.

Minulla on Kela-pätevyys perheterapiaan.

Tervetuloa vastaanotolleni!","Työnohjauspalvelut työterveysasiakkaalle, Surevan tuki, 5c293540-ef20-437d-945f-3321804b8a08, Sopeutumishäiriöiden tutkimus ja hoito, Psykoterapia, psykoterapeutti, Vanhempien ohjauskäynnit (osana lapsen tai nuoren psykoterapiaa) , Vakavaan sairauteen sopeutuminen, afa8545f-02d2-4d39-9e1f-62fedbdb9724, Työnohjauspalvelut, 15a284a3-75f0-4030-95da-672c8b50cbed, Kelan kuntoutuspsykoterapia, Eroauttaminen, Perheen tuki, Nuoren psykologinen tuki, Lapsiperheen mielen tuki, Työterveyden lyhytpsykoterapia, Parisuhteen tuki, Ratkaisu- ja voimavarakeskeinen psykoterapia , Kriisituki, b70231e4-f9e5-45e4-9165-de74d5223f17, Perheterapia, Defusing, d56ba243-016d-48c9-9ceb-4512360489af, Voimavarakeskeinen pari- ja perheterapia"
"3a51645c-b235-437c-8e95-46a27b199494","Minna","Raiko","Ratkaisukeskeinen psykoterapeutti, työnohjaaja ja valmentaja","Ratkaisu- ja voimavarakeskeinen psykoterapeutti, coach, työnohjaaja ja uravalmentaja.","Olen erikoistunut haastavia työtilanteita kohtaavien johtajien, esimiesten ja asiantuntijoiden lyhytterapiaan ja valmentamiseen sekä muidenkin elämän muutostilanteiden ratkomiseen ratkaisu- ja voimavarakeskeisellä otteella. Ratkaisukeskeisyyden keskeisiä elementtejä ovat tulevaisuuteen suuntautuneisuus, tavoitteellisuus, voimavarat sekä käytännönläheiset askelet kohti tavoitetta. Siinä keskitytään ensisijaisesti inhimillisiin vahvuuksiin ja onnistumisten tunnistamiseen. Ongelmiin on aina useita vaihtoehtoisia ratkaisuja.

Käytän tarvittaessa myös kehollisia aistimuksia ja liikkeitä hyödyntävää sensomotorista työskentelytapaa. 
Sensomotorisessa lähestymistavassa painopiste on kehollisen kokemuksen, tuntemusten ja reaktioiden työstämisessä, jolloin mahdollisiin trauma- tai ongelmatapahtumiin ei tarvitse palata aina uudelleen. Kehollinen työtapa sopii kaikille, jotka kokevat epämääräisiä psyykkisiä tai fyysisiä oireita, etenkin jos niiden aiheuttajaa ei voida suoraan tunnistaa.","Psykoterapia, psykoterapeutti, Työnohjauspalvelut, Mielen hyvinvoinnin asiantuntijaluennot, Työterveyden lyhytpsykoterapia, Ratkaisu- ja voimavarakeskeinen psykoterapia "
"08ae50ef-c288-4a42-a685-e1b67b30cfdd","Suvi","Hinkkanen","Psykoterapeutti","Lämmin ja helposti lähestyttävä psykoterapeutti","Olen kognitiiviseen käyttäytymisterapiaan suuntautunut psykoterapeutti. Olet tervetullut vastaanotolleni, jos tarvitset apua esimerkiksi jaksamiseen, stressiin tai työkykyyn liittyvissä asioissa. Olen perehtynyt myös erilaisten syömiseen liittyvien ongelmien hoitoon. Työskentelen rennosti, mutta aktiivisesti auttaen tavoitteidesi saavuttamisessa.","Surevan tuki, Stressin säätelytaitojen vahvistaminen, Paniikkihäiriön tutkimus ja hoito , Kivun hoito, 5c293540-ef20-437d-945f-3321804b8a08, Masennuksen tutkimus ja hoito , Väsymys, Psykoterapia, psykoterapeutti, Vakavaan sairauteen sopeutuminen, Kivun psykologinen hoito, afa8545f-02d2-4d39-9e1f-62fedbdb9724, ADHD:n arviointi ja tuki, Eroauttaminen, Perheen tuki, Kaksisuuntaisen mielialahäiriön tutkimus ja hoito, Nuoren psykologinen tuki, Työuupumuksen tutkimus ja hoito, Tietoisuustaidot eli Mindfulness, Syömishäiriöiden tutkimus ja hoito, Skeematerapia, Työterveyden lyhytpsykoterapia, Parisuhteen tuki, Palautuminen, Itsetuhoisuuden tutkimus ja hoito, Vihan käsittely, Kognitiivinen käyttäytymisterapia (KKT, CBT), Hyväksymis- ja omistautumisterapia (HOT), Pakko-oireiden tutkimus ja hoito, Kriisituki, Riippuvuuksien arviointi ja tuki, b70231e4-f9e5-45e4-9165-de74d5223f17, Painonhallinta ja elämäntapamuutos (yksilötuki), Traumafokusoitu kognitiivinen käyttäytymisterapia (TF-CBT), 70e91f8f-b7f4-4bb0-a570-ee401787cb76, Epävakaan persoonallisuushäiriön tutkimus ja hoito "
